exp_id,llm_backend,openai_model,vllm_model,vllm_max_model_len,task_type,method_type,prompt_name,custom_dataset,text_column,query_column,category_column,few_shot_master_path
41,vllm,,Qwen/Qwen3-8B,40960,stance_detection,GenAIStanceOneShot,few_shot_6,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
42,vllm,,Qwen/Qwen3-8B,40960,stance_detection,GenAIStanceOneShot,few_shot_9,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
43,vllm,,Qwen/Qwen3-8B,40960,stance_detection,GenAIStanceOneShot,few_shot_12,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
44,vllm,,Qwen/Qwen3-8B,40960,stance_detection,GenAIStanceOneShot,few_shot_15,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
45,vllm,,Qwen/Qwen3-14B,40960,stance_detection,GenAIStanceOneShot,default,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
46,vllm,,Qwen/Qwen3-14B,40960,stance_detection,GenAIStanceOneShot,default_no_label_definitions,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
47,vllm,,Qwen/Qwen3-14B,40960,stance_detection,GenAIStanceOneShot,question,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
48,vllm,,Qwen/Qwen3-14B,40960,stance_detection,GenAIStanceOneShot,cot,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
49,vllm,,Qwen/Qwen3-14B,40960,stance_detection,GenAIStanceOneShot,task_definition,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
50,vllm,,Qwen/Qwen3-14B,40960,stance_detection,GenAIStanceOneShot,task_definition_scale,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
51,vllm,,Qwen/Qwen3-14B,40960,stance_detection,GenAIStanceOneShot,few_shot_3,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
52,vllm,,Qwen/Qwen3-14B,40960,stance_detection,GenAIStanceOneShot,few_shot_6,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
53,vllm,,Qwen/Qwen3-14B,40960,stance_detection,GenAIStanceOneShot,few_shot_9,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
54,vllm,,Qwen/Qwen3-14B,40960,stance_detection,GenAIStanceOneShot,few_shot_12,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
55,vllm,,Qwen/Qwen3-14B,40960,stance_detection,GenAIStanceOneShot,few_shot_15,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
56,vllm,,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,stance_detection,GenAIStanceOneShot,default,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
57,vllm,,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,stance_detection,GenAIStanceOneShot,default_no_label_definitions,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
58,vllm,,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,stance_detection,GenAIStanceOneShot,question,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
59,vllm,,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,stance_detection,GenAIStanceOneShot,cot,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
60,vllm,,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,stance_detection,GenAIStanceOneShot,task_definition,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
61,vllm,,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,stance_detection,GenAIStanceOneShot,task_definition_scale,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
62,vllm,,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,stance_detection,GenAIStanceOneShot,few_shot_3,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
63,vllm,,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,stance_detection,GenAIStanceOneShot,few_shot_6,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
64,vllm,,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,stance_detection,GenAIStanceOneShot,few_shot_9,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
65,vllm,,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,stance_detection,GenAIStanceOneShot,few_shot_12,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
66,vllm,,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,stance_detection,GenAIStanceOneShot,few_shot_15,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
67,vllm,,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,,stance_detection,GenAIStanceOneShot,default,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
68,vllm,,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,,stance_detection,GenAIStanceOneShot,default_no_label_definitions,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
69,vllm,,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,,stance_detection,GenAIStanceOneShot,question,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
70,vllm,,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,,stance_detection,GenAIStanceOneShot,cot,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
71,vllm,,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,,stance_detection,GenAIStanceOneShot,task_definition,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
72,vllm,,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,,stance_detection,GenAIStanceOneShot,task_definition_scale,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
73,vllm,,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,,stance_detection,GenAIStanceOneShot,few_shot_3,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
74,vllm,,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,,stance_detection,GenAIStanceOneShot,few_shot_6,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
75,vllm,,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,,stance_detection,GenAIStanceOneShot,few_shot_9,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
76,vllm,,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,,stance_detection,GenAIStanceOneShot,few_shot_12,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
77,vllm,,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,,stance_detection,GenAIStanceOneShot,few_shot_15,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
78,vllm,,meta-llama/Llama-3.1-8B-Instruct,,stance_detection,GenAIStanceOneShot,default,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
79,vllm,,meta-llama/Llama-3.1-8B-Instruct,,stance_detection,GenAIStanceOneShot,default_no_label_definitions,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
80,vllm,,meta-llama/Llama-3.1-8B-Instruct,,stance_detection,GenAIStanceOneShot,question,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
81,vllm,,meta-llama/Llama-3.1-8B-Instruct,,stance_detection,GenAIStanceOneShot,cot,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
82,vllm,,meta-llama/Llama-3.1-8B-Instruct,,stance_detection,GenAIStanceOneShot,task_definition,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
83,vllm,,meta-llama/Llama-3.1-8B-Instruct,,stance_detection,GenAIStanceOneShot,task_definition_scale,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
84,vllm,,meta-llama/Llama-3.1-8B-Instruct,,stance_detection,GenAIStanceOneShot,few_shot_3,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
85,vllm,,meta-llama/Llama-3.1-8B-Instruct,,stance_detection,GenAIStanceOneShot,few_shot_6,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
86,vllm,,meta-llama/Llama-3.1-8B-Instruct,,stance_detection,GenAIStanceOneShot,few_shot_9,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
87,vllm,,meta-llama/Llama-3.1-8B-Instruct,,stance_detection,GenAIStanceOneShot,few_shot_12,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
88,vllm,,meta-llama/Llama-3.1-8B-Instruct,,stance_detection,GenAIStanceOneShot,few_shot_15,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
89,vllm,,microsoft/phi-4,16384,stance_detection,GenAIStanceOneShot,default,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
90,vllm,,microsoft/phi-4,16384,stance_detection,GenAIStanceOneShot,default_no_label_definitions,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
91,vllm,,microsoft/phi-4,16384,stance_detection,GenAIStanceOneShot,question,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
92,vllm,,microsoft/phi-4,16384,stance_detection,GenAIStanceOneShot,cot,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
93,vllm,,microsoft/phi-4,16384,stance_detection,GenAIStanceOneShot,task_definition,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
94,vllm,,microsoft/phi-4,16384,stance_detection,GenAIStanceOneShot,task_definition_scale,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
95,vllm,,microsoft/phi-4,16384,stance_detection,GenAIStanceOneShot,few_shot_3,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
96,vllm,,microsoft/phi-4,16384,stance_detection,GenAIStanceOneShot,few_shot_6,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
97,vllm,,microsoft/phi-4,16384,stance_detection,GenAIStanceOneShot,few_shot_9,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
98,vllm,,microsoft/phi-4,16384,stance_detection,GenAIStanceOneShot,few_shot_12,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
99,vllm,,microsoft/phi-4,16384,stance_detection,GenAIStanceOneShot,few_shot_15,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
100,vllm,,microsoft/phi-4-mini-instruct,,stance_detection,GenAIStanceOneShot,default,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
101,vllm,,microsoft/phi-4-mini-instruct,,stance_detection,GenAIStanceOneShot,default_no_label_definitions,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
102,vllm,,microsoft/phi-4-mini-instruct,,stance_detection,GenAIStanceOneShot,question,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
103,vllm,,microsoft/phi-4-mini-instruct,,stance_detection,GenAIStanceOneShot,cot,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
104,vllm,,microsoft/phi-4-mini-instruct,,stance_detection,GenAIStanceOneShot,task_definition,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
105,vllm,,microsoft/phi-4-mini-instruct,,stance_detection,GenAIStanceOneShot,task_definition_scale,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
106,vllm,,microsoft/phi-4-mini-instruct,,stance_detection,GenAIStanceOneShot,few_shot_3,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
107,vllm,,microsoft/phi-4-mini-instruct,,stance_detection,GenAIStanceOneShot,few_shot_6,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
108,vllm,,microsoft/phi-4-mini-instruct,,stance_detection,GenAIStanceOneShot,few_shot_9,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
109,vllm,,microsoft/phi-4-mini-instruct,,stance_detection,GenAIStanceOneShot,few_shot_12,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
110,vllm,,microsoft/phi-4-mini-instruct,,stance_detection,GenAIStanceOneShot,few_shot_15,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
111,vllm,,nvidia/Nemotron-Mini-4B-Instruct,4096,stance_detection,GenAIStanceOneShot,default,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
112,vllm,,nvidia/Nemotron-Mini-4B-Instruct,4096,stance_detection,GenAIStanceOneShot,default_no_label_definitions,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
113,vllm,,nvidia/Nemotron-Mini-4B-Instruct,4096,stance_detection,GenAIStanceOneShot,question,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
114,vllm,,nvidia/Nemotron-Mini-4B-Instruct,4096,stance_detection,GenAIStanceOneShot,cot,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
115,vllm,,nvidia/Nemotron-Mini-4B-Instruct,4096,stance_detection,GenAIStanceOneShot,task_definition,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
116,vllm,,nvidia/Nemotron-Mini-4B-Instruct,4096,stance_detection,GenAIStanceOneShot,task_definition_scale,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,
117,vllm,,nvidia/Nemotron-Mini-4B-Instruct,4096,stance_detection,GenAIStanceOneShot,few_shot_3,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
118,vllm,,nvidia/Nemotron-Mini-4B-Instruct,4096,stance_detection,GenAIStanceOneShot,few_shot_6,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
119,vllm,,nvidia/Nemotron-Mini-4B-Instruct,4096,stance_detection,GenAIStanceOneShot,few_shot_9,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
120,vllm,,nvidia/Nemotron-Mini-4B-Instruct,4096,stance_detection,GenAIStanceOneShot,few_shot_12,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
121,vllm,,nvidia/Nemotron-Mini-4B-Instruct,4096,stance_detection,GenAIStanceOneShot,few_shot_15,data_in/mtcsd/mtcsd_test.csv,content,query,stance_label,data_in/mtcsd/mtcsd_icl_master.json
