Keywords,Text,Target 1,Stance 1,Domain,In Use,seen?,Ori Text
online shopping,Playing the dangerous game where i just put a bunch of clothes I want in my online shopping cart just to see how much it would cost.. out of curiosity.. 2,The premise has entailment relation with online shopping cart!,FAVOR,consumption_and_entertainment_domain,1,1,"Playing the dangerous game where i just put a bunch of clothes I want in my online shopping cart just to see how much it would cost.. out of curiosity..
2"
online shopping,Spending my whole day online shopping bc im indecisive but anywAY i came across a fit and i was like omg cute! Maybe for the office! i think i just felt myself rapidly age,This implies the entailment relation with online shopping!,NONE,consumption_and_entertainment_domain,1,1,"Spending my whole day online shopping bc im indecisive but anywAY i came across a fit and i was like “omg cute! Maybe for the office!”

…i think i just felt myself rapidly age
1
5"
online shopping,Spending my whole day online shopping bc im indecisive but anywAY i came across a fit and i was like omg cute! Maybe for the office! i think i just felt myself rapidly age,This implies the entailment relation with office!,NONE,consumption_and_entertainment_domain,1,1,"Spending my whole day online shopping bc im indecisive but anywAY i came across a fit and i was like “omg cute! Maybe for the office!”

…i think i just felt myself rapidly age
1
5"
asian hate,A Zy 7 A part white people was made distinction aim group. It's white skin color people all was made bad meanings same time distinction words were put in world thought. Asian hate crime's the bad ghost changed bad by mistake. Mankind's human all. Human or other kind animal,The premise has the entailment relation with the hypothesis Asian hate crime!,AGAINST,rights_domain,1,1,A(ಠωಠ)Zy~~~7☆A part white people was made distinction aim group. It's white skin color people all was made bad meanings same time distinction words were put in world thought. Asian hate crime's the bad ghost changed bad by mistake. Mankind's human all. Human or other kind animal
gasoline price,"Await EIA's avg price peg late Mon to see if prices dipped am skeptical, but we'll see and if recent continuing? gains, return to office and defiant, fearless reaction to sustains demand through Labor Day, steadies pump prices. Patrick De Haan GasBuddyGuy Jul 26, 2021 Our EIA model is expecting a print of 9.35mbpd this week, which would translate to real world of about 9.5-9.7mbpd. Don't expect another 10mbpd, which represented gallons flowing toward retail ahead of a major holiday. 1",This implies the entailment relation with Pump price!,FAVOR,consumption_and_entertainment_domain,1,1,"Await EIA's avg #retail #gasoline price peg late Mon to see if prices dipped (am skeptical, but we'll see) and if recent (continuing?) #jobs gains, return to office and defiant, fearless reaction to #Delta/COVID sustains demand through Labor Day, steadies pump prices.
#OOTT #oil
Patrick De Haan
@GasBuddyGuy
·
Jul 26, 2021
Our EIA model is expecting a print of 9.35mbpd this week, which would translate to real world of about 9.5-9.7mbpd. Don't expect another 10mbpd, which represented gallons flowing toward retail ahead of a major holiday.
1"
health insurance,"CBC, CTV, Global will run more ads for buying health insurance in Ontario as coverage disappears. Elections have consequences.",The premise entails the hypothesis ads!,FAVOR,consumption_and_entertainment_domain,1,1,"CBC, CTV, Global will run more ads for buying health insurance in Ontario as coverage disappears. Elections have consequences. #onpoli
5
54
94"
health insurance,"CBC, CTV, Global will run more ads for buying health insurance in Ontario as coverage disappears. Elections have consequences.",The premise entails the hypothesis health insurance!,FAVOR,consumption_and_entertainment_domain,1,1,"CBC, CTV, Global will run more ads for buying health insurance in Ontario as coverage disappears. Elections have consequences. #onpoli
5
54
94"
health insurance,"CBC, CTV, Global will run more ads for buying health insurance in Ontario as coverage disappears. Elections have consequences.",The premise has entailment relation with Elections!,AGAINST,consumption_and_entertainment_domain,1,1,"CBC, CTV, Global will run more ads for buying health insurance in Ontario as coverage disappears. Elections have consequences. #onpoli
5
54
94"
gun control,Doug Mastriano PA GOP candidate for Gov. once compared gun control to Nazi policies before the Holocaust! PA Dem candidate Josh Shapiro is endorsed by Giffords PAC for his commitment to common sense gun laws! JoshShapiroPA is the best and only choice for PA!,The premise entails the hypothesis Josh Shapiro!,FAVOR,rights_domain,1,1,"Doug Mastriano PA GOP candidate for Gov. once compared gun control to Nazi policies before the Holocaust!

PA Dem candidate Josh Shapiro is endorsed by Giffords PAC for his commitment to common sense gun laws!
@JoshShapiroPA
 is the best and only choice for PA!

#Fresh #ONEV1
11
107
121"
gun control,Doug Mastriano PA GOP candidate for Gov. once compared gun control to Nazi policies before the Holocaust! PA Dem candidate Josh Shapiro is endorsed by Giffords PAC for his commitment to common sense gun laws! JoshShapiroPA is the best and only choice for PA!,The above text entails gun control!,AGAINST,rights_domain,1,1,"Doug Mastriano PA GOP candidate for Gov. once compared gun control to Nazi policies before the Holocaust!

PA Dem candidate Josh Shapiro is endorsed by Giffords PAC for his commitment to common sense gun laws!
@JoshShapiroPA
 is the best and only choice for PA!

#Fresh #ONEV1
11
107
121"
gun control,Doug Mastriano PA GOP candidate for Gov. once compared gun control to Nazi policies before the Holocaust! PA Dem candidate Josh Shapiro is endorsed by Giffords PAC for his commitment to common sense gun laws! JoshShapiroPA is the best and only choice for PA!,The premise has entailment relation with Giffords PAC!,AGAINST,rights_domain,1,1,"Doug Mastriano PA GOP candidate for Gov. once compared gun control to Nazi policies before the Holocaust!

PA Dem candidate Josh Shapiro is endorsed by Giffords PAC for his commitment to common sense gun laws!
@JoshShapiroPA
 is the best and only choice for PA!

#Fresh #ONEV1
11
107
121"
men's football,"Rebecca Welch has become the first female referee to be added to the English Football League's national group list for men's football. bbc.co.uk Rebecca Welch is first female referee added to EFL national list 45 174 1,689",The above text entails female referee!,FAVOR,sports_domain,1,1,"Rebecca Welch has become the first female referee to be added to the English Football League's national group list for men's football.
bbc.co.uk
Rebecca Welch is first female referee added to EFL national list
45
174
1,689"
men's football,"Rebecca Welch has become the first female referee to be added to the English Football League's national group list for men's football. bbc.co.uk Rebecca Welch is first female referee added to EFL national list 45 174 1,689",The premise has entailment relation with Rebecca Welch!,NONE,sports_domain,1,1,"Rebecca Welch has become the first female referee to be added to the English Football League's national group list for men's football.
bbc.co.uk
Rebecca Welch is first female referee added to EFL national list
45
174
1,689"
men's football,"Rebecca Welch has become the first female referee to be added to the English Football League's national group list for men's football. bbc.co.uk Rebecca Welch is first female referee added to EFL national list 45 174 1,689",The premise has entailment relation with EFL national list!,NONE,sports_domain,1,1,"Rebecca Welch has become the first female referee to be added to the English Football League's national group list for men's football.
bbc.co.uk
Rebecca Welch is first female referee added to EFL national list
45
174
1,689"
mid-term election,"The mid-term election in 2022, there s a lot at stake. If the GOP gains control of Congress, there will be no moderate nominee to SCOTUS, a vote would never happen with McConnell in charge. The GOP House will hold impeachment hearings. Gov t will stop for 2 yrs",The premise has the entailment relation with the hypothesis Mid-term Election!,NONE,politic,1,1,"The mid-term election in 2022, there’s a lot at stake. If the GOP gains control of Congress, there will be no moderate nominee to SCOTUS, a vote would never happen with McConnell in charge. The GOP House will hold impeachment hearings. Gov’t will stop for 2 yrs #VoteBlue2022
1
8
9"
mid-term election,"The mid-term election in 2022, there s a lot at stake. If the GOP gains control of Congress, there will be no moderate nominee to SCOTUS, a vote would never happen with McConnell in charge. The GOP House will hold impeachment hearings. Gov t will stop for 2 yrs",The premise entails the hypothesis GOP!,NONE,politic,1,1,"The mid-term election in 2022, there’s a lot at stake. If the GOP gains control of Congress, there will be no moderate nominee to SCOTUS, a vote would never happen with McConnell in charge. The GOP House will hold impeachment hearings. Gov’t will stop for 2 yrs #VoteBlue2022
1
8
9"
mid-term election,"The mid-term election in 2022, there s a lot at stake. If the GOP gains control of Congress, there will be no moderate nominee to SCOTUS, a vote would never happen with McConnell in charge. The GOP House will hold impeachment hearings. Gov t will stop for 2 yrs",The premise entails the hypothesis  McConnell!,AGAINST,politic,1,1,"The mid-term election in 2022, there’s a lot at stake. If the GOP gains control of Congress, there will be no moderate nominee to SCOTUS, a vote would never happen with McConnell in charge. The GOP House will hold impeachment hearings. Gov’t will stop for 2 yrs #VoteBlue2022
1
8
9"
arming teachers,"""we should start arming teachers ""... Lauren Windsor lawindsor Oct 11, 2021 0:33 Last Wednesday, immediately following news of a school shooting in Texas, we asked Glenn Youngkin, GOP candidate for governor in Virginia, if we should start arming teachers... Youngkin laughed and didn't rule it out.",The premise has the entailment relation with the hypothesis arming teachers!,FAVOR,education_and_culture_domain,1,1,"""we should start arming teachers ""...
Lauren Windsor
@lawindsor
·
Oct 11, 2021
0:33
Last Wednesday, immediately following news of a school shooting in Texas, we asked Glenn Youngkin, GOP candidate for governor in Virginia, if we should start arming teachers...

Youngkin laughed and didn't rule it out.
1
1"
public education,"1. Until we change the way we finance public education, we are kidding ourselves if we believe that most Black Americans will be able to compete fairly in our society. What did Barack and Kamala have in common? Good schools. POTUS SenSchumer SpeakerPelosi",This implies the entailment relation with public education!,FAVOR,education_and_culture_domain,1,1,"1. Until we change the way we finance public education, we are kidding ourselves if we believe that most Black Americans will be able to compete fairly in our society. What did Barack and Kamala have in common? Good schools.  
@POTUS
 @SenSchumer
 @SpeakerPelosi
 #JuneTeenth2021
5
52
181"
public education,"1. Until we change the way we finance public education, we are kidding ourselves if we believe that most Black Americans will be able to compete fairly in our society. What did Barack and Kamala have in common? Good schools. POTUS SenSchumer SpeakerPelosi",The premise entails the hypothesis Black Americans!,FAVOR,education_and_culture_domain,1,1,"1. Until we change the way we finance public education, we are kidding ourselves if we believe that most Black Americans will be able to compete fairly in our society. What did Barack and Kamala have in common? Good schools.  
@POTUS
 @SenSchumer
 @SpeakerPelosi
 #JuneTeenth2021
5
52
181"
men's football,Reminder that Mark McGuinness 20 is class The Arsenal centre-half spent last season on loan with Ipswich Town and that exposure to men's football is really standing him in good stead now. He was excellent on Sunday and again today for Jim Crawford's side COYBIG,The premise has the entailment relation with the hypothesis Mark McGuinness 20 !,FAVOR,sports_domain,1,1,Reminder that Mark McGuinness 20 is class The Arsenal centre-half spent last season on loan with Ipswich Town and that exposure to men's football is really standing him in good stead now. He was excellent on Sunday and again today for Jim Crawford's side COYBIG
men's football,Reminder that Mark McGuinness 20 is class The Arsenal centre-half spent last season on loan with Ipswich Town and that exposure to men's football is really standing him in good stead now. He was excellent on Sunday and again today for Jim Crawford's side COYBIG,This implies the entailment relation with Loan!,FAVOR,sports_domain,1,1,Reminder that Mark McGuinness 20 is class The Arsenal centre-half spent last season on loan with Ipswich Town and that exposure to men's football is really standing him in good stead now. He was excellent on Sunday and again today for Jim Crawford's side COYBIG
men's football,Reminder that Mark McGuinness 20 is class The Arsenal centre-half spent last season on loan with Ipswich Town and that exposure to men's football is really standing him in good stead now. He was excellent on Sunday and again today for Jim Crawford's side COYBIG,This implies the entailment relation with Men's Football !,FAVOR,sports_domain,1,1,Reminder that Mark McGuinness 20 is class The Arsenal centre-half spent last season on loan with Ipswich Town and that exposure to men's football is really standing him in good stead now. He was excellent on Sunday and again today for Jim Crawford's side COYBIG
leftists,Always a wild ride when you run into leftist who s like we need UBI and a dismantling of the profit-motive... so women can get back in the kitchen where they belong!,The premise has entailment relation with leftist!,AGAINST,politic,1,1,Always a wild ride when you run into leftist who s like we need UBI and a dismantling of the profit-motive... so women can get back in the kitchen where they belong!
leftists,Always a wild ride when you run into leftist who s like we need UBI and a dismantling of the profit-motive... so women can get back in the kitchen where they belong!,The premise has entailment relation with UBI!,AGAINST,politic,1,1,Always a wild ride when you run into leftist who s like we need UBI and a dismantling of the profit-motive... so women can get back in the kitchen where they belong!
leftists,Always a wild ride when you run into leftist who s like we need UBI and a dismantling of the profit-motive... so women can get back in the kitchen where they belong!,The above text entails women!,FAVOR,politic,1,1,Always a wild ride when you run into leftist who s like we need UBI and a dismantling of the profit-motive... so women can get back in the kitchen where they belong!
electric vihicles,"Love official transportgovuk forms. This one, for new E10 fuel, points out that electric vehicles cannot use petrol. Who knew?",This implies the entailment relation with Electric vehicles!,FAVOR,environmental_protection_domain,1,1,"Love official 
@transportgovuk
 forms. This one, for new E10 fuel, points out that electric vehicles cannot use petrol. Who knew?
4
13"
electric vihicles,"Love official transportgovuk forms. This one, for new E10 fuel, points out that electric vehicles cannot use petrol. Who knew?",The above text entails E10 fuel!,FAVOR,environmental_protection_domain,1,1,"Love official 
@transportgovuk
 forms. This one, for new E10 fuel, points out that electric vehicles cannot use petrol. Who knew?
4
13"
