Keywords,Text,Target 1,Stance 1,Domain,In Use,seen?,Ori Text
women's rights,"Gender-critical men patronise women who support trans rights, and ask them would it help them to change their minds if they said that men like them found women who support trans right's ""bloody unattractive."" But, sure, trans rights advocacy is the men's right movement.",trans rights advocacy,FAVOR,rights_domain,1,1,"Gender-critical men patronise women who support trans rights, and ask them would it help them to change their minds if they said that men like them found women who support trans right's ""bloody unattractive."" 

But, sure, trans rights advocacy is the men's right movement.
7
9
82"
women's rights,"Gender-critical men patronise women who support trans rights, and ask them would it help them to change their minds if they said that men like them found women who support trans right's ""bloody unattractive."" But, sure, trans rights advocacy is the men's right movement.",women,NONE,rights_domain,1,1,"Gender-critical men patronise women who support trans rights, and ask them would it help them to change their minds if they said that men like them found women who support trans right's ""bloody unattractive."" 

But, sure, trans rights advocacy is the men's right movement.
7
9
82"
climate change,"Climate change is significant because it may indicate our ability to recognise, learn about, and respond to a global environmental problem that is profoundly entwined with our economic lives. We're still taking the test, but I'm optimistic that we'll pass.",Climate change,FAVOR,environmental_protection_domain,1,1,"Climate change is significant because it may indicate our ability to recognise, learn about, and respond to a global environmental problem that is profoundly entwined with our economic lives. We're still taking the test, but I'm optimistic that we'll pass.
1
10
27"
climate change,"Climate change is significant because it may indicate our ability to recognise, learn about, and respond to a global environmental problem that is profoundly entwined with our economic lives. We're still taking the test, but I'm optimistic that we'll pass.",economic lives,NONE,environmental_protection_domain,1,1,"Climate change is significant because it may indicate our ability to recognise, learn about, and respond to a global environmental problem that is profoundly entwined with our economic lives. We're still taking the test, but I'm optimistic that we'll pass.
1
10
27"
private education,"Terror outfits like BH never win because they target the wrong people. What does a Northern senator or governor care if you kidnap all school children in the state, when their own children are all in expensive private education abroad?",BH,AGAINST,education_and_culture_domain,1,1,"Terror outfits like BH never win because they target the wrong people.
What does a Northern senator or governor care if you kidnap all school children in the state, when their own children are all in expensive private education abroad?
35
29"
private education,"Terror outfits like BH never win because they target the wrong people. What does a Northern senator or governor care if you kidnap all school children in the state, when their own children are all in expensive private education abroad?",Northern senator,AGAINST,education_and_culture_domain,1,1,"Terror outfits like BH never win because they target the wrong people.
What does a Northern senator or governor care if you kidnap all school children in the state, when their own children are all in expensive private education abroad?
35
29"
arming teachers,FOPofOhio OhioPTA OhioEA OFTadvocate OHschoolboards basa OhioPrincipals OAESA OAPSA1 oasbo . ohiogop Closer To Arming Under-Trained Teachers: WHO thinks this is a good idea??? GregMild,FOPofOhio,NONE,education_and_culture_domain,1,1,"@FOPofOhio
 @OhioPTA
 @OhioEA
 @OFTadvocate
 @OHschoolboards
 @basa
 @OhioPrincipals
 @OAESA
 @OAPSA1
 @oasbo
 
.
@ohiogop
 Closer To Arming Under-Trained Teachers: WHO thinks this is a good idea??? http://disq.us/t/439xa9f 
@GregMild"
arming teachers,FOPofOhio OhioPTA OhioEA OFTadvocate OHschoolboards basa OhioPrincipals OAESA OAPSA1 oasbo . ohiogop Closer To Arming Under-Trained Teachers: WHO thinks this is a good idea??? GregMild,Arming Under-Trained Teachers,AGAINST,education_and_culture_domain,1,1,"@FOPofOhio
 @OhioPTA
 @OhioEA
 @OFTadvocate
 @OHschoolboards
 @basa
 @OhioPrincipals
 @OAESA
 @OAPSA1
 @oasbo
 
.
@ohiogop
 Closer To Arming Under-Trained Teachers: WHO thinks this is a good idea??? http://disq.us/t/439xa9f 
@GregMild"
WWE,"Wrestlers gotta treat WWE like a job enough trying to overwork yourself for a company that doesn't care about you nadia vinamkaycee Jun 25, 2021 It sucks to see anyone lose their job and I truly wish the best for those released. That being said Steve Koonin and Nick Khan are very good businessmen.",Steve Koonin,FAVOR,sports_domain,1,1,"Wrestlers gotta treat WWE like a job enough trying to overwork yourself for a company that doesn't care about you
nadia
@vinamkaycee
·
Jun 25, 2021
It sucks to see anyone lose their job and I truly wish the best for those released. That being said Steve Koonin and Nick Khan are very good businessmen.
1
3
9"
WWE,"Wrestlers gotta treat WWE like a job enough trying to overwork yourself for a company that doesn't care about you nadia vinamkaycee Jun 25, 2021 It sucks to see anyone lose their job and I truly wish the best for those released. That being said Steve Koonin and Nick Khan are very good businessmen.",Nick Khan,FAVOR,sports_domain,1,1,"Wrestlers gotta treat WWE like a job enough trying to overwork yourself for a company that doesn't care about you
nadia
@vinamkaycee
·
Jun 25, 2021
It sucks to see anyone lose their job and I truly wish the best for those released. That being said Steve Koonin and Nick Khan are very good businessmen.
1
3
9"
online shopping,"Shopping in FL seriously wears me out. Where s the A C? Nothing about being hot, sweaty dripping wet makes me wanna try on clothes. I can t stand them sticking to me. Online shopping it is. 3",FL,AGAINST,consumption_and_entertainment_domain,1,1,"Shopping in FL seriously wears me out. Where’s the A/C? Nothing about being hot, sweaty & dripping wet makes me wanna try on clothes. I can’t stand them sticking to me.  Online shopping it is.
3"
online shopping,"Shopping in FL seriously wears me out. Where s the A C? Nothing about being hot, sweaty dripping wet makes me wanna try on clothes. I can t stand them sticking to me. Online shopping it is. 3",Online shopping,FAVOR,consumption_and_entertainment_domain,1,1,"Shopping in FL seriously wears me out. Where’s the A/C? Nothing about being hot, sweaty & dripping wet makes me wanna try on clothes. I can’t stand them sticking to me.  Online shopping it is.
3"
tictok,"Lately I ve been thinking about whether weird stuff I see in FEC filings is a podcast or just a TikTok account. ok, just now, but the question remains.",FEC,NONE,consumption_and_entertainment_domain,1,1,"Lately* I’ve been thinking about whether “weird stuff I see in FEC filings” is a podcast or just a TikTok account.

* ok, just now, but the question remains.
9
25"
tictok,"Lately I ve been thinking about whether weird stuff I see in FEC filings is a podcast or just a TikTok account. ok, just now, but the question remains.",TikTok,NONE,consumption_and_entertainment_domain,1,1,"Lately* I’ve been thinking about whether “weird stuff I see in FEC filings” is a podcast or just a TikTok account.

* ok, just now, but the question remains.
9
25"
cultural output,"The fact that in most wars of invasions, the enemy focuses on cultural monuments, and major identity symbols of the local population tells you everything you need to know about how important the cultural heritage and the artistic output of",wars of invasions,AGAINST,education_and_culture_domain,1,1,"The fact that in most wars of invasions, the enemy focuses on cultural monuments, and major identity symbols of the local population tells you everything you need to know about how important the cultural heritage and the artistic output of"
cultural output,"The fact that in most wars of invasions, the enemy focuses on cultural monuments, and major identity symbols of the local population tells you everything you need to know about how important the cultural heritage and the artistic output of",cultural monuments,FAVOR,education_and_culture_domain,1,1,"The fact that in most wars of invasions, the enemy focuses on cultural monuments, and major identity symbols of the local population tells you everything you need to know about how important the cultural heritage and the artistic output of"
cultural output,"The fact that in most wars of invasions, the enemy focuses on cultural monuments, and major identity symbols of the local population tells you everything you need to know about how important the cultural heritage and the artistic output of",cultural heritage,FAVOR,education_and_culture_domain,1,1,"The fact that in most wars of invasions, the enemy focuses on cultural monuments, and major identity symbols of the local population tells you everything you need to know about how important the cultural heritage and the artistic output of"
vegetarian,"Man approaching 30 , earning 28L p.a. annum is looking for a bride not older than 25 years old. Girl should be UC, fair, atleast 5'8"", slim, from atleast an upper middle class family, pure vegetarian, atleast a post graduate willing to quit her job immediately after marriage. 116 224 1,318",upper middle class family,NONE,consumption_and_entertainment_domain,1,1,"Man approaching 30 , earning 28L p.a. annum is looking for a bride not older than 25 years old. Girl should be UC, fair, atleast 5'8"", slim, from atleast an upper middle class family, pure vegetarian, atleast a post graduate & willing to quit her job immediately after marriage.
116
224
1,318"
prices,We just put in an offer to buy a home. Payment should be 1500. But why is daycare more expensive than the house 1700 for 2 kids I know for a fact my parents weren t paying these prices lol GIF ALT,house,FAVOR,consumption_and_entertainment_domain,1,1,"We just put in an offer to buy a home. Payment should be ~$1500. 

But why is daycare more expensive than the house (~$1700 for 2 kids)

I know for a fact my parents weren’t paying these prices lol
GIF
ALT
6
12"
prices,We just put in an offer to buy a home. Payment should be 1500. But why is daycare more expensive than the house 1700 for 2 kids I know for a fact my parents weren t paying these prices lol GIF ALT, parents,FAVOR,consumption_and_entertainment_domain,1,1,"We just put in an offer to buy a home. Payment should be ~$1500. 

But why is daycare more expensive than the house (~$1700 for 2 kids)

I know for a fact my parents weren’t paying these prices lol
GIF
ALT
6
12"
Ukraine,"Ukraine will make the Russian army one of the weakest. Putin can't take on the world, he can't even beat a small country. Russia is becoming a laughing stock",Ukraine,FAVOR,world_event_domain,0,1,"Ukraine will make the Russian army one of the weakest.
Putin can't take on the world, he can't even beat a small country.
Russia is becoming a laughing stock
1
8"
Ukraine,"Ukraine will make the Russian army one of the weakest. Putin can't take on the world, he can't even beat a small country. Russia is becoming a laughing stock",Russian army,AGAINST,world_event_domain,1,1,"Ukraine will make the Russian army one of the weakest.
Putin can't take on the world, he can't even beat a small country.
Russia is becoming a laughing stock
1
8"
Ukraine,"Ukraine will make the Russian army one of the weakest. Putin can't take on the world, he can't even beat a small country. Russia is becoming a laughing stock",Putin,AGAINST,world_event_domain,1,1,"Ukraine will make the Russian army one of the weakest.
Putin can't take on the world, he can't even beat a small country.
Russia is becoming a laughing stock
1
8"
nuclear energy,"I agree. Even bigger mistake than abandoning nuclear energy. Jakub Janda 楊雅嚳 JakubJanda Jul 24, 2021 Germany makes a strategic mistake with North Stream 2. Generations in Central and Eastern Europe will suffer because of this geopolitical failure of reason. 15",abandoning nuclear energy,AGAINST,environmental_protection_domain,1,1,"I agree. Even bigger mistake than abandoning nuclear energy.
Jakub Janda 楊雅嚳
@_JakubJanda
·
Jul 24, 2021
Germany makes a strategic mistake with North Stream 2.

Generations in Central and Eastern Europe will suffer because of this geopolitical failure of reason.
15"
nuclear energy,"I agree. Even bigger mistake than abandoning nuclear energy. Jakub Janda 楊雅嚳 JakubJanda Jul 24, 2021 Germany makes a strategic mistake with North Stream 2. Generations in Central and Eastern Europe will suffer because of this geopolitical failure of reason. 15",Generations in Central and Eastern Europe,AGAINST,environmental_protection_domain,1,1,"I agree. Even bigger mistake than abandoning nuclear energy.
Jakub Janda 楊雅嚳
@_JakubJanda
·
Jul 24, 2021
Germany makes a strategic mistake with North Stream 2.

Generations in Central and Eastern Europe will suffer because of this geopolitical failure of reason.
15"
nuclear energy,"I agree. Even bigger mistake than abandoning nuclear energy. Jakub Janda 楊雅嚳 JakubJanda Jul 24, 2021 Germany makes a strategic mistake with North Stream 2. Generations in Central and Eastern Europe will suffer because of this geopolitical failure of reason. 15",geopolitical failure,AGAINST,environmental_protection_domain,1,1,"I agree. Even bigger mistake than abandoning nuclear energy.
Jakub Janda 楊雅嚳
@_JakubJanda
·
Jul 24, 2021
Germany makes a strategic mistake with North Stream 2.

Generations in Central and Eastern Europe will suffer because of this geopolitical failure of reason.
15"
health insurance,If you TRULY love your country Then it should be a matter of PRIDE That EVERYONE in your country has HEALTH INSURANCE,country,FAVOR,consumption_and_entertainment_domain,0,1,"If you TRULY love your country

Then it should be a matter of PRIDE

That EVERYONE in your country has HEALTH INSURANCE
2
4
25"
health insurance,If you TRULY love your country Then it should be a matter of PRIDE That EVERYONE in your country has HEALTH INSURANCE,HEALTH INSURANCE,FAVOR,consumption_and_entertainment_domain,1,1,"If you TRULY love your country

Then it should be a matter of PRIDE

That EVERYONE in your country has HEALTH INSURANCE
2
4
25"
online shopping,Playing the dangerous game where i just put a bunch of clothes I want in my online shopping cart just to see how much it would cost.. out of curiosity.. 2,clothes,NONE,consumption_and_entertainment_domain,1,1,"Playing the dangerous game where i just put a bunch of clothes I want in my online shopping cart just to see how much it would cost.. out of curiosity..
2"
online shopping,Playing the dangerous game where i just put a bunch of clothes I want in my online shopping cart just to see how much it would cost.. out of curiosity.. 2,online shopping cart,FAVOR,consumption_and_entertainment_domain,1,1,"Playing the dangerous game where i just put a bunch of clothes I want in my online shopping cart just to see how much it would cost.. out of curiosity..
2"
online shopping,Spending my whole day online shopping bc im indecisive but anywAY i came across a fit and i was like omg cute! Maybe for the office! i think i just felt myself rapidly age,online shopping,NONE,consumption_and_entertainment_domain,1,1,"Spending my whole day online shopping bc im indecisive but anywAY i came across a fit and i was like “omg cute! Maybe for the office!”

…i think i just felt myself rapidly age
1
5"
online shopping,Spending my whole day online shopping bc im indecisive but anywAY i came across a fit and i was like omg cute! Maybe for the office! i think i just felt myself rapidly age,office,NONE,consumption_and_entertainment_domain,1,1,"Spending my whole day online shopping bc im indecisive but anywAY i came across a fit and i was like “omg cute! Maybe for the office!”

…i think i just felt myself rapidly age
1
5"
asian hate,A Zy 7 A part white people was made distinction aim group. It's white skin color people all was made bad meanings same time distinction words were put in world thought. Asian hate crime's the bad ghost changed bad by mistake. Mankind's human all. Human or other kind animal,Asian hate crime,AGAINST,rights_domain,1,1,A(ಠωಠ)Zy~~~7☆A part white people was made distinction aim group. It's white skin color people all was made bad meanings same time distinction words were put in world thought. Asian hate crime's the bad ghost changed bad by mistake. Mankind's human all. Human or other kind animal
gasoline price,"Await EIA's avg price peg late Mon to see if prices dipped am skeptical, but we'll see and if recent continuing? gains, return to office and defiant, fearless reaction to sustains demand through Labor Day, steadies pump prices. Patrick De Haan GasBuddyGuy Jul 26, 2021 Our EIA model is expecting a print of 9.35mbpd this week, which would translate to real world of about 9.5-9.7mbpd. Don't expect another 10mbpd, which represented gallons flowing toward retail ahead of a major holiday. 1",Pump price,FAVOR,consumption_and_entertainment_domain,1,1,"Await EIA's avg #retail #gasoline price peg late Mon to see if prices dipped (am skeptical, but we'll see) and if recent (continuing?) #jobs gains, return to office and defiant, fearless reaction to #Delta/COVID sustains demand through Labor Day, steadies pump prices.
#OOTT #oil
Patrick De Haan
@GasBuddyGuy
·
Jul 26, 2021
Our EIA model is expecting a print of 9.35mbpd this week, which would translate to real world of about 9.5-9.7mbpd. Don't expect another 10mbpd, which represented gallons flowing toward retail ahead of a major holiday.
1"
health insurance,"CBC, CTV, Global will run more ads for buying health insurance in Ontario as coverage disappears. Elections have consequences.",ads,FAVOR,consumption_and_entertainment_domain,1,1,"CBC, CTV, Global will run more ads for buying health insurance in Ontario as coverage disappears. Elections have consequences. #onpoli
5
54
94"
health insurance,"CBC, CTV, Global will run more ads for buying health insurance in Ontario as coverage disappears. Elections have consequences.",health insurance,FAVOR,consumption_and_entertainment_domain,1,1,"CBC, CTV, Global will run more ads for buying health insurance in Ontario as coverage disappears. Elections have consequences. #onpoli
5
54
94"
health insurance,"CBC, CTV, Global will run more ads for buying health insurance in Ontario as coverage disappears. Elections have consequences.",Elections,AGAINST,consumption_and_entertainment_domain,1,1,"CBC, CTV, Global will run more ads for buying health insurance in Ontario as coverage disappears. Elections have consequences. #onpoli
5
54
94"
gun control,Doug Mastriano PA GOP candidate for Gov. once compared gun control to Nazi policies before the Holocaust! PA Dem candidate Josh Shapiro is endorsed by Giffords PAC for his commitment to common sense gun laws! JoshShapiroPA is the best and only choice for PA!,Josh Shapiro,FAVOR,rights_domain,1,1,"Doug Mastriano PA GOP candidate for Gov. once compared gun control to Nazi policies before the Holocaust!

PA Dem candidate Josh Shapiro is endorsed by Giffords PAC for his commitment to common sense gun laws!
@JoshShapiroPA
 is the best and only choice for PA!

#Fresh #ONEV1
11
107
121"
gun control,Doug Mastriano PA GOP candidate for Gov. once compared gun control to Nazi policies before the Holocaust! PA Dem candidate Josh Shapiro is endorsed by Giffords PAC for his commitment to common sense gun laws! JoshShapiroPA is the best and only choice for PA!,gun control,AGAINST,rights_domain,1,1,"Doug Mastriano PA GOP candidate for Gov. once compared gun control to Nazi policies before the Holocaust!

PA Dem candidate Josh Shapiro is endorsed by Giffords PAC for his commitment to common sense gun laws!
@JoshShapiroPA
 is the best and only choice for PA!

#Fresh #ONEV1
11
107
121"
gun control,Doug Mastriano PA GOP candidate for Gov. once compared gun control to Nazi policies before the Holocaust! PA Dem candidate Josh Shapiro is endorsed by Giffords PAC for his commitment to common sense gun laws! JoshShapiroPA is the best and only choice for PA!,Giffords PAC,AGAINST,rights_domain,1,1,"Doug Mastriano PA GOP candidate for Gov. once compared gun control to Nazi policies before the Holocaust!

PA Dem candidate Josh Shapiro is endorsed by Giffords PAC for his commitment to common sense gun laws!
@JoshShapiroPA
 is the best and only choice for PA!

#Fresh #ONEV1
11
107
121"
men's football,"Rebecca Welch has become the first female referee to be added to the English Football League's national group list for men's football. bbc.co.uk Rebecca Welch is first female referee added to EFL national list 45 174 1,689",female referee,FAVOR,sports_domain,1,1,"Rebecca Welch has become the first female referee to be added to the English Football League's national group list for men's football.
bbc.co.uk
Rebecca Welch is first female referee added to EFL national list
45
174
1,689"
men's football,"Rebecca Welch has become the first female referee to be added to the English Football League's national group list for men's football. bbc.co.uk Rebecca Welch is first female referee added to EFL national list 45 174 1,689",Rebecca Welch,NONE,sports_domain,1,1,"Rebecca Welch has become the first female referee to be added to the English Football League's national group list for men's football.
bbc.co.uk
Rebecca Welch is first female referee added to EFL national list
45
174
1,689"
men's football,"Rebecca Welch has become the first female referee to be added to the English Football League's national group list for men's football. bbc.co.uk Rebecca Welch is first female referee added to EFL national list 45 174 1,689",EFL national list,NONE,sports_domain,1,1,"Rebecca Welch has become the first female referee to be added to the English Football League's national group list for men's football.
bbc.co.uk
Rebecca Welch is first female referee added to EFL national list
45
174
1,689"
mid-term election,"The mid-term election in 2022, there s a lot at stake. If the GOP gains control of Congress, there will be no moderate nominee to SCOTUS, a vote would never happen with McConnell in charge. The GOP House will hold impeachment hearings. Gov t will stop for 2 yrs",Mid-term Election,NONE,politic,1,1,"The mid-term election in 2022, there’s a lot at stake. If the GOP gains control of Congress, there will be no moderate nominee to SCOTUS, a vote would never happen with McConnell in charge. The GOP House will hold impeachment hearings. Gov’t will stop for 2 yrs #VoteBlue2022
1
8
9"
mid-term election,"The mid-term election in 2022, there s a lot at stake. If the GOP gains control of Congress, there will be no moderate nominee to SCOTUS, a vote would never happen with McConnell in charge. The GOP House will hold impeachment hearings. Gov t will stop for 2 yrs",GOP,NONE,politic,1,1,"The mid-term election in 2022, there’s a lot at stake. If the GOP gains control of Congress, there will be no moderate nominee to SCOTUS, a vote would never happen with McConnell in charge. The GOP House will hold impeachment hearings. Gov’t will stop for 2 yrs #VoteBlue2022
1
8
9"
mid-term election,"The mid-term election in 2022, there s a lot at stake. If the GOP gains control of Congress, there will be no moderate nominee to SCOTUS, a vote would never happen with McConnell in charge. The GOP House will hold impeachment hearings. Gov t will stop for 2 yrs", McConnell,AGAINST,politic,1,1,"The mid-term election in 2022, there’s a lot at stake. If the GOP gains control of Congress, there will be no moderate nominee to SCOTUS, a vote would never happen with McConnell in charge. The GOP House will hold impeachment hearings. Gov’t will stop for 2 yrs #VoteBlue2022
1
8
9"
arming teachers,"""we should start arming teachers ""... Lauren Windsor lawindsor Oct 11, 2021 0:33 Last Wednesday, immediately following news of a school shooting in Texas, we asked Glenn Youngkin, GOP candidate for governor in Virginia, if we should start arming teachers... Youngkin laughed and didn't rule it out.",arming teachers,FAVOR,education_and_culture_domain,1,1,"""we should start arming teachers ""...
Lauren Windsor
@lawindsor
·
Oct 11, 2021
0:33
Last Wednesday, immediately following news of a school shooting in Texas, we asked Glenn Youngkin, GOP candidate for governor in Virginia, if we should start arming teachers...

Youngkin laughed and didn't rule it out.
1
1"
public education,"1. Until we change the way we finance public education, we are kidding ourselves if we believe that most Black Americans will be able to compete fairly in our society. What did Barack and Kamala have in common? Good schools. POTUS SenSchumer SpeakerPelosi",public education,FAVOR,education_and_culture_domain,1,1,"1. Until we change the way we finance public education, we are kidding ourselves if we believe that most Black Americans will be able to compete fairly in our society. What did Barack and Kamala have in common? Good schools.  
@POTUS
 @SenSchumer
 @SpeakerPelosi
 #JuneTeenth2021
5
52
181"
public education,"1. Until we change the way we finance public education, we are kidding ourselves if we believe that most Black Americans will be able to compete fairly in our society. What did Barack and Kamala have in common? Good schools. POTUS SenSchumer SpeakerPelosi",Black Americans,FAVOR,education_and_culture_domain,1,1,"1. Until we change the way we finance public education, we are kidding ourselves if we believe that most Black Americans will be able to compete fairly in our society. What did Barack and Kamala have in common? Good schools.  
@POTUS
 @SenSchumer
 @SpeakerPelosi
 #JuneTeenth2021
5
52
181"
men's football,Reminder that Mark McGuinness 20 is class The Arsenal centre-half spent last season on loan with Ipswich Town and that exposure to men's football is really standing him in good stead now. He was excellent on Sunday and again today for Jim Crawford's side COYBIG,Mark McGuinness 20 ,FAVOR,sports_domain,1,1,Reminder that Mark McGuinness 20 is class The Arsenal centre-half spent last season on loan with Ipswich Town and that exposure to men's football is really standing him in good stead now. He was excellent on Sunday and again today for Jim Crawford's side COYBIG
men's football,Reminder that Mark McGuinness 20 is class The Arsenal centre-half spent last season on loan with Ipswich Town and that exposure to men's football is really standing him in good stead now. He was excellent on Sunday and again today for Jim Crawford's side COYBIG,Loan,FAVOR,sports_domain,1,1,Reminder that Mark McGuinness 20 is class The Arsenal centre-half spent last season on loan with Ipswich Town and that exposure to men's football is really standing him in good stead now. He was excellent on Sunday and again today for Jim Crawford's side COYBIG
men's football,Reminder that Mark McGuinness 20 is class The Arsenal centre-half spent last season on loan with Ipswich Town and that exposure to men's football is really standing him in good stead now. He was excellent on Sunday and again today for Jim Crawford's side COYBIG,Men's Football ,FAVOR,sports_domain,1,1,Reminder that Mark McGuinness 20 is class The Arsenal centre-half spent last season on loan with Ipswich Town and that exposure to men's football is really standing him in good stead now. He was excellent on Sunday and again today for Jim Crawford's side COYBIG
leftists,Always a wild ride when you run into leftist who s like we need UBI and a dismantling of the profit-motive... so women can get back in the kitchen where they belong!,leftist,AGAINST,politic,1,1,Always a wild ride when you run into leftist who s like we need UBI and a dismantling of the profit-motive... so women can get back in the kitchen where they belong!
leftists,Always a wild ride when you run into leftist who s like we need UBI and a dismantling of the profit-motive... so women can get back in the kitchen where they belong!,UBI,AGAINST,politic,1,1,Always a wild ride when you run into leftist who s like we need UBI and a dismantling of the profit-motive... so women can get back in the kitchen where they belong!
leftists,Always a wild ride when you run into leftist who s like we need UBI and a dismantling of the profit-motive... so women can get back in the kitchen where they belong!,women,FAVOR,politic,1,1,Always a wild ride when you run into leftist who s like we need UBI and a dismantling of the profit-motive... so women can get back in the kitchen where they belong!
electric vihicles,"Love official transportgovuk forms. This one, for new E10 fuel, points out that electric vehicles cannot use petrol. Who knew?",Electric vehicles,FAVOR,environmental_protection_domain,1,1,"Love official 
@transportgovuk
 forms. This one, for new E10 fuel, points out that electric vehicles cannot use petrol. Who knew?
4
13"
electric vihicles,"Love official transportgovuk forms. This one, for new E10 fuel, points out that electric vehicles cannot use petrol. Who knew?",E10 fuel,FAVOR,environmental_protection_domain,1,1,"Love official 
@transportgovuk
 forms. This one, for new E10 fuel, points out that electric vehicles cannot use petrol. Who knew?
4
13"
BLM,"He s following the MAGA handbook to a T. Shit like assassination coordinates is red meat to this cult. No proof, no evidence, it s now the forefront of their nothingburger movement. Now we wait for Andy Ngo to say it was Antifa and BLM. 8 38 287 14.8K",MAGA handbook,FAVOR,rights_domain,1,1,"He’s following the MAGA handbook to a T. 

Shit like “assassination coordinates” is red meat to this cult. No proof, no evidence, it’s now the forefront of their nothingburger movement. 

Now we wait for Andy Ngo to say it was Antifa and BLM.
8
38
287
14.8K"
BLM,"He s following the MAGA handbook to a T. Shit like assassination coordinates is red meat to this cult. No proof, no evidence, it s now the forefront of their nothingburger movement. Now we wait for Andy Ngo to say it was Antifa and BLM. 8 38 287 14.8K",assassination coordinates,AGAINST,rights_domain,1,1,"He’s following the MAGA handbook to a T. 

Shit like “assassination coordinates” is red meat to this cult. No proof, no evidence, it’s now the forefront of their nothingburger movement. 

Now we wait for Andy Ngo to say it was Antifa and BLM.
8
38
287
14.8K"
gun control,"It s a new day, and that can only mean one thing another desperate attempt by right wing populist to slander Nancy Mace, and today that topic is gun control. Mace has NEVER voted in favor of gun control measures, is the daughter of a Vietnam vet, and owns SEVEN guns herself.",gun control,FAVOR,rights_domain,1,1,"It’s a new day, and that can only mean one thing… another desperate attempt by right wing populist to slander Nancy Mace, and today that topic is gun control. Mace has NEVER voted in favor of gun control measures, is the daughter of a Vietnam vet, and owns SEVEN guns herself.
3
6
22"
gun control,"It s a new day, and that can only mean one thing another desperate attempt by right wing populist to slander Nancy Mace, and today that topic is gun control. Mace has NEVER voted in favor of gun control measures, is the daughter of a Vietnam vet, and owns SEVEN guns herself.",Nancy Mace,AGAINST,rights_domain,1,1,"It’s a new day, and that can only mean one thing… another desperate attempt by right wing populist to slander Nancy Mace, and today that topic is gun control. Mace has NEVER voted in favor of gun control measures, is the daughter of a Vietnam vet, and owns SEVEN guns herself.
3
6
22"
